Date,Portfolio_Value,Benchmark_Value,Portfolio_Drawdown,Benchmark_Drawdown
2019-11-08,11766.398940130972,12520.981619139384,-0.01288851342599461,0.0
2019-11-11,11738.513811546754,12497.070240711186,-0.015227863882334635,-0.0019097047783895398
2019-11-12,11761.555541081552,12523.416143192993,-0.013294837812926405,0.0
2019-11-13,11784.94516783235,12527.46778964869,-0.011332625809928191,0.0
2019-11-14,11811.852101182127,12545.707679080495,-0.009075338502810018,0.0
2019-11-15,11845.542494384648,12636.48958496329,-0.006248970445206687,0.0
2019-11-18,11853.548940031875,12645.812860040096,-0.005577290477085559,0.0
2019-11-19,11847.812337271082,12642.165154167595,-0.006058547870099641,-0.00028845167272938387
2019-11-20,11844.849039149367,12595.148918408286,-0.006307146071552015,-0.004006380783310885
2019-11-21,11814.050273600495,12574.883885783283,-0.008890928535522527,-0.005608890076251507
2019-11-22,11816.12725696303,12602.852350944395,-0.008716685409395944,-0.00339721215007486
2019-11-25,11838.579669830317,12700.523007850388,-0.006833098531595019,0.0
2019-11-26,11882.761145209957,12729.3020743165,-0.003126608375776412,0.0
2019-11-27,11878.587602753121,12786.03872538929,-0.0034767368832160257,0.0
2019-11-29,11859.991795049864,12738.622629254696,-0.005036783884801237,-0.0037084273834114847
2019-12-02,11803.155006346167,12630.411435245094,-0.00980495869128745,-0.012171657969028792
2019-12-03,11819.603395993154,12545.707679080495,-0.008425063751569846,-0.018796364649793236
2019-12-04,11859.679377552497,12623.116023500093,-0.005062993339522863,-0.012742234353293474
2019-12-05,11873.979876881242,12645.812860040096,-0.003863290080864619,-0.01096710782447002
2019-12-06,11883.683838564604,12761.319465794699,-0.0030492014126442066,-0.0019333008545880305
2019-12-09,11863.987013448976,12721.19334112789,-0.004701615411150017,-0.005071577339480143
2019-12-10,11875.09960724265,12707.010538428996,-0.00376935320967442,-0.006180818677122147
2019-12-11,11920.47408914601,12743.0822965015,0.0,-0.0033596354438135143
2019-12-12,11952.783634060042,12852.914693121102,0.0,0.0
2019-12-13,11987.4086259518,12860.615405518603,0.0,0.0
2019-12-16,12034.842182863378,12948.968227625006,0.0,0.0
2019-12-17,12039.580302364504,12951.80669226181,0.0,0.0
2019-12-18,12042.613289546302,12952.617293566811,0.0,0.0
2019-12-19,12081.341393214005,13005.711679044318,0.0,0.0
2019-12-20,12109.850108342904,13062.72850439367,0.0,0.0
2019-12-23,12131.721060818061,13082.686161356038,0.0,0.0
2019-12-24,12182.942787518252,13083.09554221645,0.0,0.0
2019-12-26,12258.049845462558,13152.733810704058,0.0,0.0
2019-12-27,12261.18684225426,13149.48052492963,0.0,-0.0002473467357623049
2019-12-30,12236.745385597405,13076.980670627052,-0.0019934005550444962,-0.005759497695859686
2019-12-31,12253.096769204203,13108.747809353374,-0.0006598115789391866,-0.003344247818266273
2020-01-02,12349.432551333752,13231.344456388118,0.0,0.0
2020-01-03,12379.973903874981,13131.152230993082,0.0,-0.007572338980764958
2020-01-06,12450.98096001936,13181.244943517342,0.0,-0.0037864264690492763
2020-01-07,12448.142763802989,13144.184415061052,-0.00022794960698155326,-0.00658739114640653
2020-01-08,12425.232422791867,13214.23478454768,-0.002067992659387472,-0.001293116651662573
2020-01-09,12430.709130654348,13303.840230482783,-0.0016281311030918793,0.0
2020-01-10,12449.150445454554,13265.551559445263,-0.00014701769849976456,-0.0028780164504524485
2020-01-13,12450.315793371468,13356.786368406189,-5.3422830701279206e-05,0.0
2020-01-14,12440.504449959755,13336.417970514105,-0.0008414204546007732,-0.0015249474933777803
2020-01-15,12478.252051522442,13366.559826422515,0.0,0.0
2020-01-16,12517.07175279394,13477.7495722072,0.0,0.0
2020-01-17,12546.894513358846,13519.69954981026,0.0,0.0
2020-01-21,12533.024397292857,13493.224440744601,-0.001105462076788934,-0.001958261643915799
2020-01-22,12520.782688446052,13494.851083631818,-0.002081138474942334,-0.001837945147145748
2020-01-23,12531.610305857523,13510.33003237713,-0.0012181665738123391,-0.0006930270453578957
2020-01-24,12494.9066223396,13390.18287015833,-0.004143486738004642,-0.009579848958533062
2020-01-27,12412.803171007878,13175.542172926964,-0.010687213653402396,-0.025455992983817958
2020-01-28,12432.690340358893,13313.616408637718,-0.009102186431738792,-0.01524317462923466
2020-01-29,12453.63285127591,13302.616168109462,-0.007433047435254904,-0.01605681996859504
2020-01-30,12459.80561620158,13345.786127877933,-0.006941071917400845,-0.012863704647546588
2020-01-31,12370.738925597014,13103.457139762013,-0.014039775944101296,-0.03078784469393695
2020-02-03,12365.24344295534,13200.797299827209,-0.01447777138877672,-0.023587968712479798
2020-02-04,12391.927742209513,13401.995072060892,-0.012351006138159351,-0.008706145969865157
2020-02-05,12474.698528255436,13556.760078266547,-0.0057540919808118105,0.0
2020-02-06,12526.682225663779,13602.375442643055,-0.0016109394777764944,0.0
2020-02-07,12503.883940185597,13529.878308479087,-0.003427985556701324,-0.0053297407110740385
2020-02-10,12553.81106368905,13630.883855317732,0.0,0.0
2020-02-11,12553.017145786403,13654.50689905355,-6.32411861720166e-05,0.0
2020-02-12,12605.20768172126,13742.481621893525,0.0,0.0
2020-02-13,12628.31491394198,13727.815994591821,0.0,-0.0010671745980972709
2020-02-14,12660.08174247803,13749.813755509726,0.0,0.0
2020-02-18,12712.136112561408,13714.377149802047,0.0,-0.002577242596720898
2020-02-19,12776.0486443798,13779.948811071616,0.0,0.0
2020-02-20,12771.159744649474,13723.338646444068,-0.0003826613271761673,-0.004108154928853111
2020-02-21,12784.879577518486,13582.00976488958,0.0,-0.014364280223087555
2020-02-24,12615.182451676783,13131.560251784189,-0.01327326744165088,-0.04705304556476098
2020-02-25,12332.550185859274,12733.644775603185,-0.03538002754868404,-0.0759294573451368
2020-02-26,12323.022142410447,12686.803988784051,-0.03612528630462737,-0.0793286562435753
2020-02-27,12057.51119871558,12117.020634903472,-0.05689286116405384,-0.12067738414471102
2020-02-28,11832.896506896945,12066.110520727696,-0.07446163765950146,-0.1243718909149301
2020-03-02,12105.779659104279,12588.653227413855,-0.05311742784096048,-0.08645137946380496
2020-03-03,12120.587917121604,12228.209020618855,-0.05195916444649218,-0.11260853082458494
2020-03-04,12354.297470119873,12742.196891384798,-0.033679011584572816,-0.07530883705845318
2020-03-05,12271.35010503299,12318.623707789653,-0.040166938559867964,-0.10604720839803473
2020-03-06,12166.325167374473,12114.987331294453,-0.04838171579118413,-0.12082493938144644
2020-03-09,11679.520742180728,11168.866680770587,-0.08645829072034995,-0.1894841676191956
2020-03-10,11837.82896243933,11746.801610022841,-0.07407583382674124,-0.14754388633252577
2020-03-11,11524.82933436528,11174.164150708464,-0.09855784995964573,-0.18909973441044367
2020-03-12,10784.946619223261,10105.051072982475,-0.1564295499358475,-0.2666844259346242
2020-03-13,11029.556847347485,10968.895691048832,-0.13729677464132245,-0.2039959043798638
2020-03-16,10395.611420276338,9768.638610749049,-0.1868823357119097,-0.2910976125760094
2020-03-17,10656.104920098183,10296.06668637407,-0.1665072122512313,-0.25282257376009926
2020-03-18,10262.239232856455,9774.745321922624,-0.19731436102831637,-0.29065445337002827
2020-03-19,10214.629628071767,9795.51698036325,-0.20103826038114303,-0.28914707052518507
2020-03-20,10119.664520567507,9373.390230472583,-0.20846618388472074,-0.3197804753134167
2020-03-23,10238.881904057363,9133.72629815725,-0.19914131048509215,-0.33717269756338425
2020-03-24,10859.981804999008,9961.272706612037,-0.1505604930299309,-0.2771183084070262
2020-03-25,10904.981300545207,10110.39478527668,-0.14704074962731584,-0.2662966369546019
2020-03-26,11206.441699477495,10700.739666890466,-0.12346130195990179,-0.2234557752280715
2020-03-27,11041.44915536065,10382.010145708984,-0.13636658926561687,-0.2465857248056342
2020-03-30,11201.969820266704,10719.1740462327,-0.1238110807109394,-0.2221180068811076
